periodo_orbital,duracion_transito,profundidad,pl_radio,insolacion,st_radio,st_temperatura,st_gravedad,pl_temperatura_eq,RA,DEC,mission,object_id,label
3.709870784,3.0694,2020.3,4.35,415.1,0.978,5727.0,4.463,1151.0,283.86441,41.346458,Kepler,K00844.01,CONFIRMED
16.3297527,6.271,1187.5,3.75,66.08,0.987,5878.0,4.444,727.0,288.51001,41.301769,Kepler,K00845.01,CONFIRMED
27.807566216,4.21587,25391.0,13.84,22.24,0.785,5862.0,4.584,554.0,296.88821,41.396091,Kepler,K00846.01,CONFIRMED
80.8723469,11.195,3604.6,7.59,9.88,1.238,5510.0,4.222,452.0,287.1543,41.565788,Kepler,K00847.01,CONFIRMED
3.166465862,2.9381,4357.2,26.82,196.31,0.704,4968.0,4.575,954.0,284.86929,41.679192,Kepler,K00848.01,FALSE POSITIVE
24.99324319,5.9409,269.6,2.29,60.88,1.317,5718.0,4.181,712.0,287.36279,38.649601,Kepler,K00118.01,CONFIRMED
10.35533116,3.1775,750.6,2.47,86.22,0.918,5501.0,4.462,777.0,288.9942,41.633282,Kepler,K00849.01,CONFIRMED
16.08518937,3.984,1442.4,3.68,33.43,0.826,5239.0,4.523,613.0,292.10519,42.380322,Kepler,K00867.01,CONFIRMED
235.9986399,8.2284,20715.0,10.59,0.29,0.657,4245.0,4.627,188.0,293.00797,42.307201,Kepler,K00868.01,CANDIDATE
7.49018305,2.7297,1123.6,2.56,76.06,0.787,5103.0,4.562,753.0,291.63898,42.436321,Kepler,K00869.01,CONFIRMED
36.2761238,4.7865,1572.6,3.03,9.29,0.787,5103.0,4.562,445.0,291.63898,42.436321,Kepler,K00869.02,CONFIRMED
17.46087931,2.2641,812.4,2.32,24.6,0.787,5103.0,4.562,568.0,291.63898,42.436321,Kepler,K00869.03,CONFIRMED
56.0560754,4.685,1626.0,1.94,0.69,0.491,3593.0,4.757,233.0,289.50848,41.812119,Kepler,K00854.01,CONFIRMED
41.408316686,5.0264,22839.0,11.38,9.93,0.747,5522.0,4.586,453.0,291.76041,41.944069,Kepler,K00855.01,CONFIRMED
39.74893077,7.3051,15179.0,14.21,21.87,0.964,6122.0,4.487,552.0,293.17929,41.969238,Kepler,K00856.01,CANDIDATE
5.715425977,2.5242,908.1,2.47,123.03,0.826,5237.0,4.572,850.0,285.11047,42.033958,Kepler,K00857.01,CONFIRMED
49.18394185,11.3364,1646.2,8.2,47.4,2.057,5626.0,3.907,669.0,294.55917,46.062328,Kepler,K00119.01,CONFIRMED
20.0261412,1.611,421.2,2.28,23.14,0.826,5237.0,4.572,559.0,285.11047,42.033958,Kepler,K00857.02,CONFIRMED
13.61014819,2.594,5732.9,19.02,68.29,0.903,5697.0,4.46,733.0,289.89777,42.009151,Kepler,K00858.01,CANDIDATE
10.44331991,2.743,1159.8,2.66,46.94,0.802,4947.0,4.516,667.0,286.24356,42.148811,Kepler,K00859.01,FALSE POSITIVE
2.237489571,1.8119,315.8,1.41,427.17,0.81,5265.0,4.58,1160.0,290.00757,42.116459,Kepler,K00861.01,CONFIRMED
5.851520671,3.11058,33004.0,14.62,155.89,0.806,5532.0,4.53,901.0,284.08731,42.233231,Kepler,K00862.01,FALSE POSITIVE
3.167893418,2.1814,781.2,2.62,526.23,0.94,5895.0,4.503,1221.0,293.81647,42.212502,Kepler,K00863.01,CONFIRMED
